mes_referencia,uf,linha_veiculo,total_contratos,contratos_ativos,contratos_cancelados,valor_total_fipe_protegido
2022-11,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",4,0,4,187289
2022-11,RO,LEVES,1,0,1,44352
2022-11,SP,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,28790
2022-10,PR,LEVES,1,0,1,47639
2022-10,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,0,3,159058
2022-10,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,12543
2022-09,MS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,59947
2022-09,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,0,3,162418
2022-08,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,54833
2022-08,RS,LEVES,1,0,1,33982
2022-07,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,54750
2022-05,SP,LEVES,1,0,1,22006
2022-02,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2,0,2,75487
2022-01,GO,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,40272
2022-01,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",4,0,4,207132
2022-01,PR,LEVES,1,0,1,48923
2022-01,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,26427
2021-12,MG,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,51829
2021-12,PR,LEVES,1,0,1,40035
2021-11,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",5,0,5,209494
2021-11,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,29240
2021-10,SC,LEVES,1,0,1,54447
